,Symbol,Company Name,Security Name,Cleaned Name
383,BNDX,Vanguard Total International Bond ETF,Vanguard Total International Bond ETF,Vanguard Total International Bond ETF
384,BNFT,"Benefitfocus, Inc. ","Benefitfocus, Inc. - Common Stock",Benefitfocus
385,BNGOU,"Bionano Genomics, Inc. ","Bionano Genomics, Inc. - Unit",nano Genomics
386,BNSO,"Bonso Electronics International, Inc. ","Bonso Electronics International, Inc. - Common Stock",Bonso  
387,BNTC,Benitec Biopharma Limited ,Benitec Biopharma Limited - American Depositary Shares,'Benitec
388,BNTC,Benitec Biopharma Limited ,Benitec Biopharma Limited - American Depositary Shares,Benitec
389,BNTCW,Benitec Biopharma Limited ,Benitec Biopharma Limited - Warrant,Benitec pharma
390,BOCH,Bank of Commerce Holdings (CA) ,Bank of Commerce Holdings (CA) - Common Stock,Bank of Commerce Holdings (CA) 
391,BOFI,"BofI Holding, Inc. ","BofI Holding, Inc. - Common Stock","BofI Holding, Inc. "
392,BOFIL,"BofI Holding, Inc. ","BofI Holding, Inc. - 6.25% Subordinated Notes Due 2026","BofI Holding, Inc. "
393,BOJA,"Bojangles', Inc. ","Bojangles', Inc. - Common Stock",Bojangles
394,BOKF,BOK Financial Corporation ,BOK Financial Corporation - Common Stock,BOK Financial
395,BOLD,"Audentes Therapeutics, Inc. ","Audentes Therapeutics, Inc. - Common Stock",Audentes
396,BOMN,Boston Omaha Corporation ,Boston Omaha Corporation - Class A Common Stock,Omaha
397,BOOM,DMC Global Inc. ,DMC Global Inc. - Common Stock,DMC Global
398,BOSC,B.O.S. Better Online Solutions ,B.O.S. Better Online Solutions - Ordinary Shares,B.O.S. Better Online Solutions
399,BOTJ,"Bank of the James Financial Group, Inc. ","Bank of the James Financial Group, Inc. - Common Stock",Bank of the James Financial Group
400,BOTZ,Global X Robotics & Artificial Intelligence ETF,Global X Robotics & Artificial Intelligence ETF,Global X Robotics & Artificial Intelligence ETF
401,BOXL,Boxlight Corporation ,Boxlight Corporation - Class A Common Stock,Boxlight
402,BPFH,"Boston Private Financial Holdings, Inc. ","Boston Private Financial Holdings, Inc. - Common Stock",Private
403,BPFHW,"Boston Private Financial Holdings, Inc. ","Boston Private Financial Holdings, Inc. - Warrants to purchase 1 share of common stock @ $8.00/share",Private
404,BPMC,Blueprint Medicines Corporation ,Blueprint Medicines Corporation - Common Stock,Blueprint Medicines
405,BPOP,"Popular, Inc. ","Popular, Inc. - Common Stock",Popular
406,BPOPM,"Popular, Inc. ","Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities","Popular, Inc. "
407,BPOPN,"Popular, Inc. ","Popular, Inc. - Popular Capital Trust I -6.70% Cumulative Monthly Income Trust Preferred Securities","Popular, Inc. "
408,BPRN,The Bank of Princeton ,The Bank of Princeton - Common Stock,Princeton
409,BPY,Brookfield Property Partners L.P. ,Brookfield Property Partners L.P. - Limited Partnership Units,Brookfield
410,BRAC,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Common Stock,Black Ridge Acquisition Corp. 
411,BRACR,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Right,Black Ridge Acquisition Corp. 
412,BRACU,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Unit,Black Ridge Acquisition Corp. 
413,BRACW,Black Ridge Acquisition Corp. ,Black Ridge Acquisition Corp. - Warrant,Black Ridge Acquisition Corp. 
414,BREW,"Craft Brew Alliance, Inc. ","Craft Brew Alliance, Inc. - Common Stock",Craft Brew Alliance
415,BRID,Bridgford Foods Corporation ,Bridgford Foods Corporation - Common Stock,Bridgford Foods
416,BRKL,"Brookline Bancorp, Inc. ","Brookline Bancorp, Inc. - Common Stock",Brookline Bancorp
417,BRKR,Bruker Corporation ,Bruker Corporation - Common Stock,Bruker
418,BRKS,"Brooks Automation, Inc. ","Brooks Automation, Inc. - Common Stock",Brooks mation
419,BRPA,Big Rock Partners Acquisition Corp. ,Big Rock Partners Acquisition Corp. - Common Stock,Big Rock Partners Acquisition Corp. 
